Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,171,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-09-01,Emergency Visits CTAS,14,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits,281,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,0,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,8,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,115,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,151,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-10-01,Emergency Visits CTAS,7,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits,238,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,1,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,8,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,87,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,135,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,7,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,253,
